Nome,Escolaridade,Número,Aptidão,Coligação
Deborah Zilberstein,Superior completo,7030,Deferido (Apto),AVANTE
Deco,Superior completo,7086,Indeferido com recurso (Apto),AVANTE
del Candido,Ensino Médio completo,3616,Deferido (Apto),PTC
Delegado Davi,Superior completo,2288,Deferido (Apto),PR
Delegado Maurício Freire,Superior completo,5538,Deferido (Apto),PSDB-PSD-DEM-PP
Delegado Poeta,Superior completo,3303,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Delma Souza,Superior completo,4390,Deferido (Apto),PV
Denis Dantas do Carmo,Superior completo,5044,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Diana Assunção,Superior completo,5052,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Didi,Ensino Fundamental completo,4563,Deferido (Apto),PSDB-PSD-DEM-PP
Diego Fonseca,Superior completo,4599,Deferido (Apto),PSDB-PSD-DEM-PP
Diego Rafael,Superior incompleto,2710,Indeferido com recurso (Apto),DC
Diego Styfler,Superior incompleto,2834,Deferido (Apto),PRTB
Diobel da Didol's,Ensino Médio completo,5193,Deferido (Apto),PATRI
Diógenes Barbosa,Superior completo,4358,Indeferido (Inapto),PV
Diógenes Campos,Superior incompleto,5434,Deferido (Apto),PPL
Diogo Santos,Ensino Médio completo,2740,Indeferido (Inapto),DC
Doda,Superior completo,9033,Deferido (Apto),PROS
Domingos Honorato,Ensino Médio completo,2712,Indeferido (Inapto),DC
Don Elvis,Superior completo,1316,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Dona Luzia,Ensino Médio completo,4079,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dona Neia,Ensino Fundamental completo,5459,Indeferido (Inapto),PPL
Dona Vilma,Ensino Médio completo,1062,Deferido (Apto),PRB
Donato Mendeiros,Superior completo,7092,Deferido (Apto),AVANTE
Donegá,Superior incompleto,1021,Deferido com recurso (Apto),PRB
Donisete Braga,Superior completo,9077,Deferido (Apto),PROS
Donizete Lousada,Superior completo,1987,Deferido (Apto),UNIDOS POR SÃO PAULO
Dony Almeida,Ensino Fundamental completo,4485,Deferido (Apto),PRP
Dora Mariano,Superior completo,2313,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Douglas Belchior,Superior completo,5075,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Douglas Cardozo,Superior completo,5030,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Doutor Campos,Superior completo,1220,Deferido (Apto),PDT
Doutora Cristina do Palanque,Superior completo,1914,Deferido (Apto),UNIDOS POR SÃO PAULO
Dr Affonso,Superior completo,1004,Deferido (Apto),PRB
Dr Alexandre,Superior completo,5488,Indeferido (Inapto),PPL
Dr Ari Hauck,Superior completo,5003,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Dr Calvo,Superior completo,5454,Indeferido com recurso (Apto),PPL
Dr Cloves,Superior completo,5121,Deferido (Apto),PATRI
Dr Daniel Perpetuo Macedo,Superior completo,3513,Deferido (Apto),UNIDOS POR SÃO PAULO
Dr Elmo,Superior completo,5412,Deferido (Apto),PPL
Dr Gabriel,Superior completo,5408,Deferido (Apto),PPL
Dr Jamberg,Superior completo,2801,Deferido (Apto),PRTB
Dr Jorge Venancio,Superior completo,5400,Deferido (Apto),PPL
Dr Marcos Gomes,Superior completo,1288,Deferido (Apto),PDT
Dr Mario Tassinari,Superior completo,1223,Deferido (Apto),PDT
Dr Mauricio Mendes,Superior completo,3510,Deferido (Apto),UNIDOS POR SÃO PAULO
Dr Palmieri,Superior completo,4060,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr Roger Lin,Superior completo,1764,Deferido (Apto),PSL
Dr Sinval Malheiros,Superior completo,1911,Deferido (Apto),UNIDOS POR SÃO PAULO
Dr Vinicius Rodrigues,Superior completo,1744,Deferido (Apto),PSL
Dr Wilson O Advogado do Povo,Superior completo,3364,Indeferido com recurso (Apto),Coligação Mobilização Sustentável por São Paulo
"Dr, Carlos Augusto",Superior completo,4310,Deferido (Apto),PV
Dr. Alexandre Azoubel,Superior completo,4412,Deferido (Apto),PRP
Dr. Angelo,Superior completo,9043,Deferido (Apto),PROS
Dr. Antonio Patricio,Superior completo,1433,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr. Aparecido,Superior completo,3653,Deferido (Apto),PTC
Dr. Arnaldo,Superior completo,4369,Deferido (Apto),PV
Dr. Carlos,Superior completo,4055,Indeferido com recurso (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr. Carlos Fernando,Superior completo,7718,Deferido (Apto),SOLIDARIEDADE
Dr. Celso,Superior completo,2714,Indeferido com recurso (Apto),DC
Dr. Chiapetti,Superior completo,1009,Deferido (Apto),PRB
Dr. Chico Bezerra,Superior completo,4004,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr. Claudio Miranda,Superior completo,4411,Deferido (Apto),PRP
Dr. Daniel,Superior completo,5155,Deferido (Apto),PATRI
Dr. Darci,Superior completo,7061,Deferido (Apto),AVANTE
Dr. Davi,Superior completo,4311,Deferido (Apto),PV
Dr. Diogo Tchow,Superior completo,2844,Indeferido com recurso (Apto),PRTB
Dr. Eleuses Paiva,Superior completo,5555,Deferido (Apto),PSDB-PSD-DEM-PP
Dr. Elias,Superior completo,1722,Indeferido com recurso (Apto),PSL
Dr. Fabio Siqueira,Superior completo,4378,Deferido (Apto),PV
Dr. Feitosa,Superior completo,2744,Indeferido com recurso (Apto),DC
Dr. Fernando,Superior completo,4316,Deferido (Apto),PV
Dr. Fernando Moro,Superior completo,4436,Renúncia (Inapto),PRP
Dr. Foganholi,Superior completo,4521,Deferido (Apto),PSDB-PSD-DEM-PP
Dr. Francisco Chagas,Superior completo,2761,Indeferido (Inapto),DC
Dr. Gaspar,Superior completo,1202,Indeferido com recurso (Apto),PDT
Dr. Gilberto França,Superior completo,9003,Deferido (Apto),PROS
Dr. Gilberto Ribeiro,Superior completo,9038,Deferido (Apto),PROS
Dr. Hosmany,Superior completo,7057,Indeferido com recurso (Apto),AVANTE
Dr. João,Superior completo,1944,Deferido (Apto),UNIDOS POR SÃO PAULO
Dr. João Belucci,Superior completo,2292,Deferido (Apto),PR
Dr. João Carlos,Superior completo,1306,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Dr. Jold,Superior completo,4460,Deferido (Apto),PRP
Dr. José Claudio,Superior completo,4342,Deferido (Apto),PV
"Dr. José Ribeiro ""tisil""",Superior completo,7060,Deferido (Apto),AVANTE
Dr. Josevane Alves,Superior completo,5119,Deferido (Apto),PATRI
Dr. Marcelo Rao,Superior completo,4480,Deferido (Apto),PRP
Dr. Marco Aurelio,Superior completo,1505,Deferido (Apto),MDB
Dr. Maurici Aragão,Superior completo,5106,Deferido (Apto),PATRI
Dr. Maurício,Superior completo,1589,Deferido (Apto),MDB
Dr. Mauricio Correa,Superior completo,3666,Deferido (Apto),PTC
Dr. Nando,Superior completo,1509,Deferido (Apto),MDB
Dr. Nogueira,Superior completo,5414,Deferido (Apto),PPL
Dr. Odair,Superior completo,3357,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Dr. Paulo Bauermeister,Superior completo,2224,Deferido (Apto),PR
Dr. Paulo César O Pc,Superior completo,1054,Renúncia (Inapto),PRB
Dr. Raphael Oliveira,Ensino Médio completo,4410,Deferido (Apto),PRP
Dr. Renato Koga,Superior completo,4022,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr. Rey (Dr. Hollywood),Superior completo,1069,Deferido (Apto),PRB
Dr. Ribamar,Superior completo,7010,Deferido (Apto),AVANTE
Dr. Roberson,Superior completo,3014,Deferido (Apto),NOVO
Dr. Rogerio,Superior completo,2234,Deferido (Apto),PR
Dr. Ronaldo,Superior completo,7007,Deferido (Apto),AVANTE
Dr. Rosseto,Superior completo,9048,Deferido (Apto),PROS
Dr. Talmir,Superior completo,7745,Deferido (Apto),SOLIDARIEDADE
Dr. Thyago Frassetto,Superior completo,3040,Deferido (Apto),NOVO
Dr. Ubiali,Superior completo,4080,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Dr. Vilson do Pronto Socorro,Superior completo,5464,Deferido (Apto),PPL
Dr. Wadao,Superior completo,3643,Deferido (Apto),PTC
Dr. Wagner Deocleciano,Superior completo,1830,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Dr. Waldemar Lima,Superior completo,2833,Deferido (Apto),PRTB
Dr. Yussif,Superior completo,4530,Deferido com recurso (Apto),PSDB-PSD-DEM-PP
Dr.eduardo,Superior completo,4394,Indeferido com recurso (Apto),PV
Dr.miguel  Isaac,Superior completo,4526,Deferido (Apto),PSDB-PSD-DEM-PP
Dra Cléo de Oliveira,Superior completo,1755,Deferido (Apto),PSL
Dra Daniela,Superior completo,7029,Deferido (Apto),AVANTE
Dra Juliana Luciana,Superior completo,1058,Deferido (Apto),PRB
Dra Neusa do Carmo,Ensino Médio completo,9054,Deferido (Apto),PROS
Dra Nice Mendes,Superior completo,9037,Deferido (Apto),PROS
Dra Sheila,Superior completo,1729,Deferido (Apto),PSL
Dra Shirley,Superior completo,2709,Indeferido (Inapto),DC
Dra. Adélia Soares,Ensino Médio completo,5176,Deferido (Apto),PATRI
Dra. Juliana Alice,Superior completo,3690,Indeferido (Inapto),PTC
Dra. Maraisa Iglesias,Superior completo,2751,Deferido (Apto),DC
Dra. Maria Nasaré,Superior completo,1018,Deferido (Apto),PRB
Dra. Marise Audi,Superior completo,3060,Deferido (Apto),NOVO
Dra. Nadir,Superior completo,2230,Deferido (Apto),PR
Dra. Neuza Ferreira,Superior completo,3304,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Dra. Regina Leitão,Superior completo,3044,Deferido (Apto),NOVO
Dra. Rosangela Zizler,Superior completo,1947,Deferido (Apto),UNIDOS POR SÃO PAULO
Drickão,Ensino Médio completo,5183,Deferido (Apto),PATRI
Duda Alcântara,Superior completo,1898,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Duda Mesquita,Ensino Fundamental completo,5409,Deferido (Apto),PPL
Dudu Sivinski,Ensino Médio completo,7000,Deferido (Apto),AVANTE
Duka,Superior completo,3110,Pendente de julgamento (Apto),UNIDOS POR SÃO PAULO
Dulce da Saúde,Superior completo,2526,Deferido (Apto),PSDB-PSD-DEM-PP
Dulim da van,Ensino Médio completo,5077,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Dunha,Ensino Médio completo,7062,Deferido (Apto),AVANTE
Durval Parreira,Ensino Médio completo,7093,Deferido (Apto),AVANTE
Durvalina Soares,Superior completo,5057,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Dygo Lima,Ensino Médio incompleto,2717,Deferido (Apto),DC
E.l.a.,Ensino Médio completo,1083,Deferido (Apto),PRB
Eden Ribeiro,Superior completo,1070,Deferido (Apto),PRB
Edgar de Souza,Superior completo,1725,Deferido (Apto),PSL
Edgar do Turismo,Ensino Médio completo,1598,Deferido (Apto),MDB
Edgard Sasaki,Superior completo,2552,Deferido (Apto),PSDB-PSD-DEM-PP
Edilene Mazer,Superior completo,3307,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Edilma Melo,Ensino Médio incompleto,7709,Deferido (Apto),SOLIDARIEDADE
Edilson Pacheco,Superior completo,7079,Deferido (Apto),AVANTE
Ediluza,Superior completo,1003,Deferido (Apto),PRB
Edinho Santana,Superior completo,1001,Deferido (Apto),PRB
Edio Lopes,Ensino Médio completo,1367,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Edivaldo Meira Batoré,Ensino Médio incompleto,7733,Deferido (Apto),SOLIDARIEDADE
Edmar Luz,Superior completo,1858,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Edmilson Tombi de Lima,Superior completo,4473,Deferido (Apto),PRP
Edna Costa,Superior completo,7789,Deferido (Apto),SOLIDARIEDADE
Edna della Nina,Superior incompleto,1360,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Edney Benedito Sampaio Duarte,Superior completo,3012,Deferido (Apto),NOVO
Edson Almeida,Superior completo,1970,Deferido (Apto),UNIDOS POR SÃO PAULO
Edson Bananeiro,Ensino Médio completo,4386,Deferido (Apto),PV
Edson Borges,Superior incompleto,9096,Deferido (Apto),PROS
Edson Carlos Bril,Superior completo,5433,Indeferido (Inapto),PPL
Edson Coqueiro,Superior incompleto,1008,Deferido (Apto),PRB
Edson da Paz Cantor Cadeirante,Ensino Médio completo,1356,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Edson Guerreiro,Ensino Fundamental completo,7711,Deferido (Apto),SOLIDARIEDADE
Edson Sardano,Superior completo,1415,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Edson Silva,Ensino Médio completo,5511,Deferido (Apto),PSDB-PSD-DEM-PP
Edu Avallone,Superior completo,1045,Deferido (Apto),PRB
Edu Chaves,Ensino Médio incompleto,3370,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Eduardo Bolsonaro,Superior completo,1720,Deferido (Apto),PSL
Eduardo Cury,Superior completo,4515,Deferido com recurso (Apto),PSDB-PSD-DEM-PP
Eduardo Gabino,Ensino Médio completo,1580,Deferido (Apto),MDB
Eduardo Gomes,Superior completo,3310,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Eduardo Leite,Superior completo,1368,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Eduardo Leite Segurança Humana,Superior completo,2517,Deferido (Apto),PSDB-PSD-DEM-PP
Eduardo Novaes,Superior completo,3054,Deferido (Apto),NOVO
Eduardo Pereira,Superior completo,7740,Deferido (Apto),SOLIDARIEDADE
Eduardo Prado,Superior completo,3009,Deferido (Apto),NOVO
Eduardo Rochael,Ensino Médio completo,5084,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Eduardo Soltur,Ensino Fundamental completo,4088,Indeferido com recurso (Apto),"Coligação PSB, PTB, PPS, PSC"
Eduardo Xavier,Superior completo,1545,Deferido (Apto),MDB
Edvaldo Ranzani,Ensino Médio completo,7078,Deferido (Apto),AVANTE
Elcyo Santos,Superior incompleto,3343,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Eli Corrêa Filho,Superior completo,2577,Deferido (Apto),PSDB-PSD-DEM-PP
Eliana Garcia,Ensino Médio incompleto,2265,Deferido (Apto),PR
Eliana Sabá,Superior completo,1002,Deferido (Apto),PRB
Elias Agostinho,Ensino Médio completo,9034,Deferido (Apto),PROS
Elias Bitencourt,Superior completo,5120,Deferido (Apto),PATRI
Eliene Ribeiro,Superior completo,5157,Deferido (Apto),PATRI
Elisângela Santos,Superior incompleto,5092,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Elisangela Valinho,Ensino Médio completo,1783,Deferido (Apto),PSL
Eliseu Gabriel,Superior completo,4054,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Eliseu Lopes,Superior completo,5153,Deferido (Apto),PATRI
Ellen Prata,Ensino Médio completo,7059,Deferido (Apto),AVANTE
Eloi Pietá,Superior completo,1387,Deferido com recurso (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Ely Santos,Ensino Médio completo,1087,Deferido (Apto),PRB
Elza Alves,Ensino Médio completo,1270,Deferido (Apto),PDT
Eneas Lopes,Superior completo,5154,Deferido (Apto),PATRI
Enéas Pasin,Superior completo,1756,Deferido (Apto),PSL
Enfermeira Edith Ferreira,Superior completo,7755,Deferido (Apto),SOLIDARIEDADE
Enfermeira Janiquele,Superior completo,7055,Deferido (Apto),AVANTE
Enfermeira Patricia,Superior completo,9047,Deferido (Apto),PROS
Enfermeiro Ari,Superior completo,5133,Deferido (Apto),PATRI
Engenheiro Cláudio,Superior completo,4056,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Engenheiro Claudio Magrão,Superior completo,4021,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Engenheiro Roberto Martins,Superior completo,4317,Deferido (Apto),PV
Enoque do Varejão do Brás,Ensino Fundamental incompleto,5105,Indeferido (Inapto),PATRI
Enrico Misasi,Superior completo,4336,Deferido (Apto),PV
Erica Cristina Rocha Gorga,Superior completo,3010,Deferido (Apto),NOVO
Erika Nakashima,Superior completo,7081,Deferido (Apto),AVANTE
Erlon Castro,Superior completo,2898,Indeferido com recurso (Apto),PRTB
Ernesto Guerra,Superior completo,5144,Deferido (Apto),PATRI
Ester de Jesus,Superior completo,3352,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Ester Nardin,Ensino Médio completo,2280,Deferido (Apto),PR
Estrela,Ensino Médio completo,3650,Deferido (Apto),PTC
Ettori Carreteiro,Ensino Fundamental incompleto,1851,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Eu Sou A Professora Linda,Superior completo,4459,Deferido (Apto),PRP
Eudes Amaro da Silva,Superior completo,1918,Deferido (Apto),UNIDOS POR SÃO PAULO
Eufrates de Lima,Superior completo,5473,Deferido (Apto),PPL
Eva  Kribely,Superior incompleto,3338,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Evandro Cabral,Superior incompleto,3302,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Evandro Graton,Superior incompleto,1889,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Evânio da Saude,Ensino Médio completo,7011,Deferido (Apto),AVANTE
Everaldo Brito,Ensino Médio completo,9022,Deferido (Apto),PROS
Everaldo Camarotte,Ensino Médio completo,1558,Deferido (Apto),MDB
Fabia Daniele,Superior completo,9029,Deferido (Apto),PROS
Fabiana Barros,Superior completo,5163,Deferido (Apto),PATRI
Fabiana Viana,Superior incompleto,3190,Indeferido com recurso (Apto),UNIDOS POR SÃO PAULO
Fabiano Paiva,Ensino Médio completo,5143,Indeferido (Inapto),PATRI
Fabiano Pavio,Superior incompleto,5404,Deferido (Apto),PPL
Fabiano Servelo Bibi,Superior completo,5179,Deferido (Apto),PATRI
Fabiano Siqueira,Superior completo,9052,Deferido (Apto),PROS
Fabio Alexandrelli,Ensino Fundamental completo,5451,Deferido (Apto),PPL
Fabio Chazyn,Superior completo,4041,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Fabio Macca,Superior completo,5128,Deferido (Apto),PATRI
Fabio Mello,Ensino Médio completo,5013,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Fabio Nogueira,Superior incompleto,3694,Deferido (Apto),PTC
Fabio Palacio,Superior completo,5505,Deferido (Apto),PSDB-PSD-DEM-PP
Fabio Soares,Superior completo,9007,Deferido (Apto),PROS
Fabio Souto,Superior completo,9027,Deferido (Apto),PROS
Fabiola Jhow,Ensino Médio completo,2858,Indeferido com recurso (Apto),PRTB
Fabricio Cobra,Superior completo,4567,Deferido (Apto),PSDB-PSD-DEM-PP
Faneco,Superior completo,4511,Renúncia (Inapto),PSDB-PSD-DEM-PP
Faria Junior,Superior completo,5152,Deferido (Apto),PATRI
Farina,Ensino Médio completo,2872,Indeferido (Inapto),PRTB
Fatima Leão,Ensino Fundamental completo,1488,Renúncia (Inapto),"Coligação PSB, PTB, PPS, PSC"
Fatima Portella,Superior completo,3022,Deferido (Apto),NOVO
Fausto Landi,Superior completo,5125,Deferido (Apto),PATRI
Fausto Longo,Superior completo,1510,Deferido com recurso (Apto),MDB
Fausto Pinato,Superior completo,1123,Deferido (Apto),PSDB-PSD-DEM-PP
Felipe do Mtsu,Superior incompleto,2810,Deferido (Apto),PRTB
Felipe Ferreira,Ensino Médio completo,4446,Deferido (Apto),PRP
Felipe Maropo,Superior completo,5040,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Fernanda Andrade,Superior completo,1946,Deferido (Apto),UNIDOS POR SÃO PAULO
Fernanda Campos,Superior completo,9020,Deferido (Apto),PROS
Fernanda Gama,Superior incompleto,3319,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Fernanda Moreno,Superior completo,4339,Deferido (Apto),PV
Fernando Bike,Ensino Médio completo,7703,Deferido (Apto),SOLIDARIEDADE
Fernando Caparroz,Superior completo,4465,Deferido (Apto),PRP
Fernando Capez,Superior completo,4570,Deferido (Apto),PSDB-PSD-DEM-PP
Fernando Coelho-Cir. Dentista,Superior completo,7751,Deferido (Apto),SOLIDARIEDADE
Fernando Covre,Superior incompleto,5476,Deferido (Apto),PPL
Fernando Gesse,Ensino Médio completo,5118,Deferido (Apto),PATRI
Fernando Henrique Enfermeiro,Ensino Médio completo,1976,Deferido (Apto),UNIDOS POR SÃO PAULO
Fernando Ladeia,Superior completo,5083,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Fernando Leão,Superior incompleto,2894,Indeferido com recurso (Apto),PRTB
Fernando Moreira,Superior completo,2890,Deferido (Apto),PRTB
Ferraz Junior,Superior completo,3016,Deferido (Apto),NOVO
Figueiredo Jogo Legal,Superior completo,3133,Deferido (Apto),UNIDOS POR SÃO PAULO
Filippi,Superior completo,1325,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Fiunha,Ensino Médio completo,5166,Deferido (Apto),PATRI
Flavia Dias,Superior completo,1470,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Flavia Goulart,Superior completo,3032,Deferido (Apto),NOVO
Flávia Prates,Superior completo,2949,Indeferido com recurso (Apto),PCO
Flavinho Ampermag,Ensino Médio completo,4450,Deferido (Apto),PRP
Flavio Freire,Ensino Médio completo,5134,Deferido (Apto),PATRI
Flavio Morales,Superior completo,4031,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Flavio Navarro,Ensino Médio completo,5123,Deferido (Apto),PATRI
Flavius,Superior completo,1590,Deferido (Apto),MDB
Floriano Pesaro,Superior completo,4544,Deferido (Apto),PSDB-PSD-DEM-PP
Francine Felizardo,Superior completo,9051,Deferido (Apto),PROS
Francisco Chagas,Superior completo,1399,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Franquenei Gomes,Ensino Médio completo,5181,Deferido (Apto),PATRI
Frigerio,Superior completo,3001,Deferido (Apto),NOVO
Fundo de Garantia,Ensino Fundamental incompleto,5135,Deferido (Apto),PATRI
Gabriel Ferrato,Superior completo,4010,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Gabriel Jesus,Ensino Fundamental incompleto,1992,Deferido (Apto),UNIDOS POR SÃO PAULO
Gabriel Kanner,Superior completo,1038,Deferido (Apto),PRB
Gabriela Arantes,Superior completo,1386,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Gabrielle Jordano,Superior completo,5570,Deferido (Apto),PSDB-PSD-DEM-PP
Galchin,Superior incompleto,4372,Deferido (Apto),PV
Gandola,Superior completo,4415,Deferido (Apto),PRP
Ganja Coletiva,Superior completo,5042,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Garotinho,Ensino Médio completo,1502,Deferido (Apto),MDB
Geilda Brandão,Ensino Médio completo,9093,Deferido (Apto),PROS
General Peternelli,Superior completo,1717,Deferido (Apto),PSL
Geninho Zuliani,Superior completo,2550,Deferido (Apto),PSDB-PSD-DEM-PP
Geraldo Maluf,Ensino Médio incompleto,1034,Deferido (Apto),PRB
Geraldo Nascimento Gg,Ensino Médio completo,1037,Deferido (Apto),PRB
Geraldo O Iluminado,Superior completo,1309,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Geraldo Rufino,Ensino Médio completo,1973,Deferido (Apto),UNIDOS POR SÃO PAULO
Geraldo Sobrinho,Superior completo,7048,Deferido (Apto),AVANTE
Gérsio Baptista,Ensino Médio completo,3369,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Gerson,Superior completo,4350,Deferido (Apto),PV
Gerson Sartori,Superior completo,1222,Deferido (Apto),PDT
Gi de Alencar,Ensino Médio completo,4091,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Gigante Segurança,Ensino Médio completo,3309,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Gil do Posto de Saude,Ensino Médio completo,2702,Deferido (Apto),DC
Gil Freire,Ensino Médio completo,1338,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Gilberto Boby Boby,Ensino Médio incompleto,4499,Deferido (Apto),PRP
Gilberto Dellamonica,Superior completo,2870,Renúncia (Inapto),PRTB
Gilberto Nascimento,Superior completo,2020,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Gilberto Natalini,Superior completo,4300,Deferido (Apto),PV
Gilce Santos,Superior completo,7720,Deferido (Apto),SOLIDARIEDADE
Gildo Velocity,Superior incompleto,1041,Deferido (Apto),PRB
Gilmar Andre,Ensino Médio completo,1060,Deferido (Apto),PRB
Gilmar Pinheiros,Ensino Médio completo,3395,Indeferido (Inapto),Coligação Mobilização Sustentável por São Paulo
Gilmara Nascimento,Superior incompleto,1024,Deferido (Apto),PRB
Gilson Cabeleireiro,Ensino Fundamental completo,2706,Deferido (Apto),DC
Gilson Carlos,Ensino Médio completo,7064,Indeferido com recurso (Apto),AVANTE
Gilson de Souza Jr,Superior completo,1051,Deferido (Apto),PRB
Gilson Menezes,Superior completo,1059,Deferido (Apto),PRB
Gilvandro,Ensino Médio completo,1984,Deferido (Apto),UNIDOS POR SÃO PAULO
Giomario Cabeleleiro,Ensino Médio incompleto,2225,Deferido (Apto),PR
Gisela Mariana,Superior completo,1477,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Gisele Poncio,Ensino Médio completo,3645,Deferido (Apto),PTC
Gisella Pulvirenti,Ensino Médio completo,5111,Deferido (Apto),PATRI
Giselle Poiato,Superior incompleto,3619,Indeferido (Inapto),PTC
Gislaine Lambert,Superior completo,5520,Deferido (Apto),PSDB-PSD-DEM-PP
Gislene Cardoso (Gi),Superior completo,2505,Deferido (Apto),PSDB-PSD-DEM-PP
Gislene do Autoescola,Superior completo,1093,Deferido (Apto),PRB
Glauco Gobbi,Superior completo,5038,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Glauco Vicente,Superior completo,9045,Deferido (Apto),PROS
Gorete,Superior incompleto,2588,Deferido (Apto),PSDB-PSD-DEM-PP
Gorethe Pascoal,Ensino Médio completo,7717,Deferido (Apto),SOLIDARIEDADE
Goulart,Ensino Médio completo,5580,Deferido (Apto),PSDB-PSD-DEM-PP
Graça Lopes,Superior completo,4487,Deferido (Apto),PRP
Grande Hotelo Filho,Superior completo,4381,Deferido (Apto),PV
Grete Cover,Ensino Médio completo,7024,Deferido (Apto),AVANTE
Gu Tigers,Ensino Médio completo,2724,Indeferido com recurso (Apto),DC
Guerrinha,Superior completo,4085,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Guiga Peixoto,Superior completo,1790,Deferido (Apto),PSL
Guilherme Abdalla,Superior completo,5501,Deferido (Apto),PSDB-PSD-DEM-PP
Guilherme Campos,Superior completo,5590,Deferido (Apto),PSDB-PSD-DEM-PP
Guilherme Mussi,Superior completo,1100,Deferido (Apto),PSDB-PSD-DEM-PP
Guilherme Ribeiro,Superior completo,1066,Deferido (Apto),PRB
Guilherme Tiosso,Superior completo,9010,Deferido (Apto),PROS
Guiron,Ensino Fundamental completo,5126,Deferido (Apto),PATRI
Gustavo Lopes,Superior completo,5130,Deferido (Apto),PATRI
Hamilton Pereira,Superior completo,4478,Deferido (Apto),PRP
Heida Woo,Superior completo,1988,Deferido (Apto),UNIDOS POR SÃO PAULO
Heitor  Tommasini,Superior completo,3670,Deferido (Apto),PTC
Helcio Alvares,Ensino Médio incompleto,7088,Deferido (Apto),AVANTE
