Nome,Escolaridade,Número,Aptidão,Coligação
Luiz Fernando,Ensino Médio completo,13134,Deferido (Apto),PT
Luiz Francisco,Ensino Médio completo,15021,Deferido (Apto),MDB
Pagliarini,Superior completo,22444,Deferido (Apto),PR
Luiz Litcha,Superior incompleto,19527,Deferido (Apto),PODE
Luiz Madeira,Ensino Fundamental completo,44118,Deferido (Apto),PRP
Pastor Fabio Ely,Superior completo,22065,Deferido (Apto),PR
Luiz Paulo,Ensino Fundamental incompleto,22111,Deferido (Apto),PR
Luiz Turco,Ensino Médio incompleto,13690,Deferido (Apto),PT
Luizão Chic Show,Ensino Médio completo,65105,Deferido (Apto),PC do B
Patricia Baptistella,Superior completo,22299,Deferido (Apto),PR
Luizinho do Camargo,Ensino Médio completo,12133,Deferido (Apto),PDT
Luizinho do Nhocuné,Ensino Médio completo,31277,Deferido (Apto),RENOVAÇÃO 
Paulo Queiroz,Superior completo,22722,Deferido (Apto),PR
Professor Cabo Helinho,Superior completo,22911,Deferido (Apto),PR
Luzinete,Ensino Médio completo,40163,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Madalena,Ensino Fundamental incompleto,19180,Deferido (Apto),PODE
Ricardo Madalena,Superior completo,22123,Deferido (Apto),PR
Rodrigo Veterináriohemodialise,Superior completo,22007,Deferido (Apto),PR
Ronaldo Protetor,Superior completo,22277,Deferido (Apto),PR
Sargento Rosângela 'robeleza',Superior completo,22269,Deferido (Apto),PR
Magna Souza Araujo da Silva,Ensino Médio completo,36003,Deferido (Apto),PTC
Thiago Auricchio,Superior completo,22343,Deferido (Apto),PR
Vera Langellotti,Superior completo,22002,Deferido (Apto),PR
Walter Abrahão Filho,Superior completo,22321,Deferido (Apto),PR
Wanessa Bomfim,Superior completo,22023,Deferido (Apto),PR
Zé Branco,Superior completo,22210,Deferido (Apto),PR
Dalben,Superior completo,22456,Deferido com recurso (Apto),PR
Francisco Rossi,Superior completo,22022,Deferido com recurso (Apto),PR
Luciano Batista,Superior completo,22400,Deferido com recurso (Apto),PR
Kazu Reis,Superior completo,22026,Indeferido com recurso (Apto),PR
Prof. Samanta Meneguesso,Superior completo,22445,Renúncia (Inapto),PR
Alessandra Matos,Superior completo,90022,Deferido (Apto),PROS
Alessandra Meduza,Superior completo,90420,Deferido (Apto),PROS
Alex da Fanuel,Superior completo,90501,Deferido (Apto),PROS
Andrea Dul,Superior completo,90764,Deferido (Apto),PROS
Andrea Santos,Superior completo,90194,Deferido (Apto),PROS
Andreia Capatto,Superior completo,90077,Deferido (Apto),PROS
Manelão Rocha,Ensino Médio completo,17062,Deferido (Apto),PSL
Benedita de Camargo,Superior completo,90550,Deferido (Apto),PROS
Bispo Gilson Zanluchi,Superior completo,90910,Deferido (Apto),PROS
Carlao do Basquete,Superior completo,90456,Deferido (Apto),PROS
Manoel Milanez,Ensino Médio completo,44663,Deferido (Apto),PRP
Manolo,Ensino Fundamental completo,22150,Deferido (Apto),PR
Mara Eventos,Ensino Médio incompleto,31022,Deferido (Apto),RENOVAÇÃO 
Mara Garcia,Superior incompleto,28222,Deferido (Apto),PRTB
Marcao,Superior incompleto,33810,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Marcela Sindicato,Ensino Médio incompleto,28500,Deferido (Apto),PRTB
Marcelinho,Ensino Médio completo,77300,Deferido (Apto),SOLIDARIEDADE
Carlos Santana,Superior completo,90852,Deferido (Apto),PROS
Marcelinho Despachante,Ensino Médio completo,90222,Deferido (Apto),PROS
Marcelinho Protetor,Ensino Fundamental completo,70004,Deferido (Apto),AVANTE
Celia Brito,Superior completo,90523,Deferido (Apto),PROS
Marcello Pablito,Superior incompleto,50200,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Marcelo Barreto,Superior incompleto,51302,Deferido (Apto),PATRI
Marcelo Colusso,Superior incompleto,44140,Deferido (Apto),PRP
Cicero Floriano,Superior completo,90567,Deferido (Apto),PROS
Coronel Edson Ferrarini,Superior completo,90235,Deferido (Apto),PROS
Marcelo D2,Ensino Médio completo,90002,Deferido (Apto),PROS
Marcelo da Moradia,Ensino Médio completo,36456,Deferido (Apto),PTC
Cris Gouvêa,Superior completo,90011,Deferido (Apto),PROS
Marcelo Luciano,Ensino Médio completo,36111,Deferido (Apto),PTC
Cristiano Pinto Ferreira,Superior completo,90699,Deferido (Apto),PROS
Marcelo Pedroso,Superior incompleto,13068,Deferido (Apto),PT
del Valle,Superior completo,90200,Deferido (Apto),PROS
Marcelo Reis Revoltados Online,Ensino Fundamental incompleto,17888,Deferido (Apto),PSL
Dr Eduardo,Superior completo,90012,Deferido (Apto),PROS
Dr. Alex,Superior completo,90120,Deferido (Apto),PROS
Dr. Ilmar Muniz,Superior completo,90003,Deferido (Apto),PROS
Marcia Nunes,Superior incompleto,55500,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Dra Leryane,Superior completo,90555,Deferido (Apto),PROS
Eduardo Gregorio,Superior completo,90900,Deferido (Apto),PROS
Elizabeth Dutra,Superior completo,90115,Deferido (Apto),PROS
Marcinha Renovação,Ensino Médio completo,19310,Deferido (Apto),PODE
Márcio Benvenuto,Superior incompleto,70006,Deferido (Apto),AVANTE
Fabiano Bicudo,Superior completo,90192,Deferido (Apto),PROS
Galeno Roda,Superior completo,90193,Deferido (Apto),PROS
Gi Meirelles,Superior completo,90378,Deferido (Apto),PROS
Marcio Campos,Ensino Médio completo,19550,Deferido (Apto),PODE
Gileno Gomes,Superior completo,90999,Deferido (Apto),PROS
"Guimarães ""o Guerreiro""",Superior completo,90822,Deferido (Apto),PROS
Marcio Mk,Ensino Médio completo,90110,Deferido (Apto),PROS
Idernani do Carmo,Superior completo,90700,Deferido (Apto),PROS
Marcio Pillar,Ensino Fundamental completo,22028,Deferido (Apto),PR
Marcio Souza,Ensino Fundamental incompleto,28388,Deferido (Apto),PRTB
Marcio Thomazini,Ensino Médio completo,17083,Deferido (Apto),PSL
India,Superior completo,90400,Deferido (Apto),PROS
Marcio Xavier,Ensino Fundamental incompleto,51599,Deferido (Apto),PATRI
Joselito,Superior completo,90001,Deferido (Apto),PROS
Leandro Camargo,Superior completo,90188,Deferido (Apto),PROS
Marco Cobra,Ensino Médio completo,14555,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Lucas Susco,Superior completo,90336,Deferido (Apto),PROS
Marcos Azevedo,Superior completo,90543,Deferido (Apto),PROS
Marcos Blinder,Superior completo,90050,Deferido (Apto),PROS
Marcolino,Ensino Médio completo,65013,Deferido (Apto),PC do B
Marcos Sena,Superior completo,90131,Deferido (Apto),PROS
Mirian Cruz,Superior completo,90357,Deferido (Apto),PROS
Monica Berbel,Superior completo,90777,Deferido (Apto),PROS
Neto,Superior completo,90300,Deferido (Apto),PROS
Preta,Superior completo,90090,Deferido (Apto),PROS
Marcos Costa,Ensino Médio completo,30777,Deferido (Apto),NOVO
Marcos Couto,Ensino Médio completo,10500,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Procopio,Superior completo,90130,Deferido (Apto),PROS
Marcos Daniel,Ensino Médio completo,15200,Deferido (Apto),MDB
Marcos Eduardo,Superior incompleto,70789,Deferido (Apto),AVANTE
Prof Nelson Valverde,Superior completo,90366,Deferido (Apto),PROS
Marcos Fontes,Ensino Médio completo,17600,Deferido (Apto),PSL
Marcos Galesi,Superior incompleto,90020,Deferido (Apto),PROS
Marcos Haga,Ensino Médio completo,70270,Deferido (Apto),AVANTE
Prof. Elifas,Superior completo,90432,Deferido (Apto),PROS
Marcos Leandro,Ensino Fundamental incompleto,15601,Deferido (Apto),MDB
Prof. Evandro Giora,Superior completo,90053,Deferido (Apto),PROS
Profa Lu Lopes,Superior completo,90009,Deferido (Apto),PROS
Marcos Pit,Ensino Médio completo,44117,Deferido (Apto),PRP
Professor Brito,Superior completo,90211,Deferido (Apto),PROS
Professor Comandante Hamilton,Superior completo,90666,Deferido (Apto),PROS
Marcos Roberto,Ensino Médio completo,54040,Deferido (Apto),PPL
Professor Jefferson Ripi,Superior completo,90890,Deferido (Apto),PROS
Marcos Valle,Ensino Médio completo,51081,Deferido (Apto),PATRI
Professora Goretti,Superior completo,90051,Deferido (Apto),PROS
Marcos Zogno,Ensino Médio completo,30321,Deferido (Apto),NOVO
Marcus Ambrósio,Superior incompleto,31234,Deferido (Apto),RENOVAÇÃO 
Marcus Macedo,Superior incompleto,45450,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Maria da Sé,Ensino Médio incompleto,44014,Deferido (Apto),PRP
Reggis,Superior completo,90600,Deferido (Apto),PROS
Renor,Superior completo,90181,Deferido (Apto),PROS
Ricardo Leite,Superior completo,90990,Deferido (Apto),PROS
Rosemeire Castilho,Superior completo,90113,Deferido (Apto),PROS
Maria do Carmo Quebra Barraco,Ensino Fundamental incompleto,35321,Deferido (Apto),RENOVAÇÃO 
Maria do Leite,Ensino Médio incompleto,19003,Deferido (Apto),PODE
Maria Emília,Superior incompleto,22218,Deferido (Apto),PR
Maria Evangelista,Superior incompleto,90971,Deferido (Apto),PROS
Maria Inês,Ensino Médio completo,51381,Deferido (Apto),PATRI
Maria Izabel Prando,Ensino Médio completo,28080,Deferido (Apto),PRTB
Ruth Ugucione,Superior completo,90687,Deferido (Apto),PROS
Maria Miranda,Ensino Fundamental incompleto,13119,Deferido (Apto),PT
Maria Teresa,Superior incompleto,14145,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Salomão Pereira,Superior completo,90500,Deferido (Apto),PROS
Sueli Dias,Superior completo,90508,Deferido (Apto),PROS
Mariana Mastroroco,Ensino Médio completo,65159,Deferido (Apto),PC do B
Totô,Superior completo,90333,Deferido (Apto),PROS
Mariana Prado,Superior incompleto,25000,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Mariette Anita,Ensino Fundamental completo,70055,Deferido (Apto),AVANTE
Valquiria Plus,Superior completo,90045,Deferido (Apto),PROS
Waldir Junior,Superior completo,90888,Deferido (Apto),PROS
Willams Aris,Superior completo,90177,Deferido (Apto),PROS
Mario / Baixinho,Ensino Médio completo,51215,Deferido (Apto),PATRI
Aline Teixeira,Superior completo,90290,Renúncia (Inapto),PROS
Amaury Câmara,Superior completo,44411,Deferido (Apto),PRP
Marisa Metroviária,Ensino Médio completo,16016,Deferido (Apto),PSTU
Marleide Soares,Ensino Fundamental completo,13410,Deferido (Apto),PT
Marlene,Ensino Fundamental completo,90304,Deferido (Apto),PROS
Antonio Claudino,Superior completo,44007,Deferido (Apto),PRP
Marquinhos Gabarito,Ensino Médio completo,90765,Deferido (Apto),PROS
Cabo Romano,Superior completo,44176,Deferido (Apto),PRP
Marta Correa,Ensino Médio completo,44223,Deferido (Apto),PRP
Dr Marcelo Amici Jorge,Superior completo,44744,Deferido (Apto),PRP
Dr. Beraldo,Superior completo,44567,Deferido (Apto),PRP
Dr. Jose Carlos,Superior completo,44440,Deferido (Apto),PRP
Maurício Brinquinho,Ensino Médio completo,13711,Deferido (Apto),PT
Mauricio D Melo,Superior incompleto,50555,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Mauricio Fogaça,Ensino Médio completo,51531,Deferido (Apto),PATRI
Dr. Lima Shalon,Superior completo,44678,Deferido (Apto),PRP
Mauricio Siqueira,Superior incompleto,36033,Deferido (Apto),PTC
Mauricio Teixeira,Superior incompleto,90038,Deferido (Apto),PROS
Elisabeth Santos,Superior completo,44425,Deferido (Apto),PRP
Engenheiro Fernando,Superior completo,44002,Deferido (Apto),PRP
Mazinho das Feiras Livres,Ensino Médio completo,22432,Deferido (Apto),PR
Meire Lopes,Ensino Médio completo,17441,Deferido (Apto),PSL
Eros Gomes,Superior completo,44201,Deferido (Apto),PRP
Messias Patriota,Ensino Médio incompleto,51035,Deferido (Apto),PATRI
Feliciano,Superior completo,44444,Deferido (Apto),PRP
Mestre Paulão,Ensino Médio completo,54854,Deferido (Apto),PPL
Isaias Guimarães,Superior completo,44544,Deferido (Apto),PRP
Meu Jovem,Ensino Fundamental completo,44511,Deferido (Apto),PRP
Michael Reginaldo,Superior incompleto,33321,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Jesus de Aquino,Superior completo,44777,Deferido (Apto),PRP
João Alfredo,Superior completo,44789,Deferido (Apto),PRP
Michel Chedid,Ensino Fundamental completo,35017,Deferido (Apto),RENOVAÇÃO 
João Brandão,Superior completo,44123,Deferido (Apto),PRP
Lucy Malta,Superior completo,44142,Deferido (Apto),PRP
Michelle Lafaiete,Ensino Médio completo,70737,Deferido (Apto),AVANTE
Magalhães,Superior completo,44023,Deferido (Apto),PRP
Marcelo Solon,Superior completo,44774,Deferido (Apto),PRP
Prof. José Reis,Superior completo,44043,Deferido (Apto),PRP
Milton Angelo,Ensino Fundamental completo,36132,Deferido (Apto),PTC
Milton Cardoso Ferroviário,Superior incompleto,17005,Deferido (Apto),PSL
Milton Leite Filho,Ensino Médio completo,25250,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Rodnei Cawboy,Superior completo,44157,Deferido (Apto),PRP
Rodrigo Pereira,Superior completo,44044,Deferido (Apto),PRP
Miriam das Flores,Ensino Médio completo,65161,Deferido (Apto),PC do B
Rodrigo Sales,Superior completo,44999,Deferido (Apto),PRP
Missionária Cinthia Fernandes,Ensino Médio incompleto,51045,Deferido (Apto),PATRI
Missionária Gil,Ensino Médio completo,51751,Deferido (Apto),PATRI
Missionária Gilcelia Alves,Superior incompleto,22228,Deferido (Apto),PR
Mobilizador Carlos Daniel,Ensino Fundamental incompleto,18654,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Moesio Ceara,Ensino Fundamental completo,51001,Deferido (Apto),PATRI
Santos,Superior completo,44005,Deferido (Apto),PRP
Silvana Inês,Superior completo,44344,Deferido (Apto),PRP
Moises Papai Noel,Ensino Fundamental completo,44113,Deferido (Apto),PRP
Sonia Guerreiro,Superior completo,44491,Deferido (Apto),PRP
Telma Gimenez,Superior completo,44022,Deferido (Apto),PRP
da Silva,Superior completo,44215,Indeferido (Inapto),PRP
Celso do Amaral,Superior completo,44244,Renúncia (Inapto),PRP
Moreno Felix,Ensino Médio completo,17029,Deferido (Apto),PSL
Moyses Gabriel,Ensino Médio incompleto,44445,Deferido (Apto),PRP
d' Martins,Superior completo,28323,Deferido (Apto),PRTB
Mug,Ensino Médio completo,19034,Deferido (Apto),PODE
Daniela Correa Santos,Superior completo,28073,Deferido (Apto),PRTB
Dobem Rosangela Motta,Superior completo,28700,Deferido (Apto),PRTB
Nadir Sampaio,Ensino Fundamental incompleto,13116,Deferido (Apto),PT
Doriedson do Mtsu,Superior completo,28100,Deferido (Apto),PRTB
Dr. Lira,Superior completo,28112,Deferido (Apto),PRTB
Nany do São Caetaninho,Ensino Médio completo,65117,Deferido (Apto),PC do B
Natal,Ensino Médio incompleto,65229,Deferido (Apto),PC do B
Natal Brauna,Superior incompleto,22369,Deferido (Apto),PR
Erich de Andrés,Superior completo,28200,Deferido (Apto),PRTB
Natalino Tony Silva,Ensino Médio completo,18663,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Natanael Silva,Ensino Fundamental incompleto,17009,Deferido (Apto),PSL
Negotinho,Ensino Médio completo,54007,Deferido (Apto),PPL
Nei Robson,Ensino Médio completo,65945,Deferido (Apto),PC do B
Neia Rocha,Ensino Médio completo,44182,Deferido (Apto),PRP
Neide Lande,Ensino Fundamental completo,65167,Deferido (Apto),PC do B
Neilson Paulo,Ensino Médio completo,22008,Deferido (Apto),PR
Nelma Carabina,Ensino Médio incompleto,19129,Deferido (Apto),PODE
José Carlos Rocha,Superior completo,28513,Deferido (Apto),PRTB
Nerivan Silva,Ensino Fundamental completo,14123,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Julio Simone,Superior completo,28166,Deferido (Apto),PRTB
Neto da Saúde,Ensino Médio completo,19990,Deferido (Apto),PODE
Neto Graça,Ensino Médio completo,90545,Deferido (Apto),PROS
Lívia Fidelix,Superior completo,28128,Deferido (Apto),PRTB
Neusa Cabeleireira,Ensino Fundamental completo,22005,Deferido (Apto),PR
Neusa Pimenta,Ensino Médio incompleto,44977,Deferido (Apto),PRP
Neves,Ensino Médio incompleto,17681,Deferido (Apto),PSL
Nilson,Ensino Médio completo,51235,Deferido (Apto),PATRI
Nilson do Meia Lua,Ensino Médio completo,16200,Deferido (Apto),PSTU
Nilton,Ensino Médio completo,28528,Deferido (Apto),PRTB
Nina Rodrigues,Ensino Médio completo,65787,Deferido (Apto),PC do B
Nivaldo Reciclagem,Ensino Fundamental incompleto,19114,Deferido (Apto),PODE
Marcos Rei Mar,Superior completo,28492,Deferido (Apto),PRTB
Noemia Oliveira,Superior incompleto,13005,Deferido (Apto),PT
Nogueira,Superior incompleto,70440,Deferido (Apto),AVANTE
Normandy Pantera Negra,Ensino Médio incompleto,13111,Deferido (Apto),PT
Nourival Prefeito,Ensino Médio incompleto,16500,Deferido (Apto),PSTU
O Homem da Moto,Ensino Médio completo,44600,Deferido (Apto),PRP
Odair Abreu,Ensino Médio completo,31747,Deferido (Apto),RENOVAÇÃO 
Odir Demarchi,Ensino Fundamental completo,22001,Deferido (Apto),PR
Olga Um Beijo e Um Queijo,Ensino Médio completo,27027,Deferido (Apto),DC
Oliveira,Ensino Médio completo,51491,Deferido (Apto),PATRI
Renne Vieira de Carvalho,Superior completo,28934,Deferido (Apto),PRTB
Ricardo Rabaça,Superior completo,28765,Deferido (Apto),PRTB
Oseias Guardiola,Ensino Médio completo,28789,Deferido (Apto),PRTB
Osmar do Gás,Ensino Médio incompleto,51270,Deferido (Apto),PATRI
Osmar Vilela do Buzão,Ensino Médio completo,12113,Deferido (Apto),PDT
Osvaldo Nunes,Ensino Fundamental completo,77020,Deferido (Apto),SOLIDARIEDADE
Osvaldo Silva,Ensino Médio completo,28190,Deferido (Apto),PRTB
Wilker Camargo,Superior completo,28000,Deferido (Apto),PRTB
Padre Dimas,Ensino Médio incompleto,12100,Deferido (Apto),PDT
Padre Nei,Ensino Médio completo,90693,Deferido (Apto),PROS
Yuri Costa,Superior completo,28122,Deferido (Apto),PRTB
Paim,Ensino Médio completo,15074,Deferido (Apto),MDB
Paloma Soares,Superior incompleto,50051,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Pamela Moraes,Ensino Médio completo,36222,Deferido (Apto),PTC
Paraiba,Ensino Fundamental completo,51222,Deferido (Apto),PATRI
Ziel Sousa,Superior completo,28191,Deferido (Apto),PRTB
Filipe Barreto,Superior completo,28678,Indeferido (Inapto),PRTB
Pastor Ebenezé de Paula,Ensino Médio completo,20000,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Aildo Rodrigues,Superior completo,10100,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pastor Flavio,Ensino Fundamental completo,70033,Deferido (Apto),AVANTE
Aldo Demarchi,Superior completo,25122,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Alessandra Begalli,Superior completo,11123,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pastor Paulinho Aleluia,Ensino Médio incompleto,44062,Deferido (Apto),PRP
Pastor Reginaldo Nunes,Ensino Médio completo,31291,Deferido (Apto),RENOVAÇÃO 
Pastor Reginaldo Viana,Ensino Fundamental completo,33456,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Pastor Renato,Ensino Médio completo,90390,Deferido (Apto),PROS
Pastor Ricardo Saibro,Ensino Fundamental completo,70170,Deferido (Apto),AVANTE
Alexandre Camillo,Superior completo,55255,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pastor Rubson Rios,Ensino Médio completo,22567,Deferido (Apto),PR
Pastor Sandro,Ensino Médio completo,33223,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Pastora Daniele,Ensino Médio completo,25777,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pastora Jerusa,Superior incompleto,31055,Deferido (Apto),RENOVAÇÃO 
Pastora Marinalva,Ensino Médio completo,51085,Deferido (Apto),PATRI
Pastora Monica,Ensino Médio completo,19770,Deferido (Apto),PODE
Pastora Neves,Ensino Médio completo,90531,Deferido (Apto),PROS
Pastora Rute,Ensino Fundamental completo,51749,Deferido (Apto),PATRI
Pastora Sara,Ensino Fundamental completo,35678,Deferido (Apto),RENOVAÇÃO 
Patricia Apolinario,Ensino Médio completo,44012,Deferido (Apto),PRP
Analice Fernandes,Superior completo,45400,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Augusto Duarte,Superior completo,45633,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Patricia Consuelo,Ensino Médio completo,44343,Deferido (Apto),PRP
Patricia Gouveia,Superior incompleto,70018,Deferido (Apto),AVANTE
Patricia Guerreiro,Ensino Médio completo,28600,Deferido (Apto),PRTB
Patricia Travassos,Superior incompleto,55955,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paula Vivian,Ensino Médio completo,70757,Deferido (Apto),AVANTE
Paulão do Centro,Ensino Fundamental incompleto,31299,Deferido (Apto),RENOVAÇÃO 
Paulinho da Feira Transportes,Ensino Fundamental completo,51300,Deferido (Apto),PATRI
Paulinho do Esporte,Ensino Médio completo,55677,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Aurélio Nomura,Superior completo,45451,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Caio Coube,Superior completo,45100,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Campos Filho,Superior completo,25025,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Calado,Superior incompleto,44334,Deferido (Apto),PRP
Paulo Camolesi,Ensino Médio completo,18180,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Carla Morando,Superior completo,45680,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Carolina Pontes,Superior completo,45600,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo da Igreja,Ensino Médio completo,12789,Deferido (Apto),PDT
Paulo da Sucata,Ensino Médio completo,17033,Deferido (Apto),PSL
Célia Leão,Superior completo,45200,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Eduardo da Tv,Ensino Médio completo,20888,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Chico Lang,Superior completo,10999,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Chui do Esporte,Superior completo,10444,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo H. Machado,Ensino Médio completo,19426,Deferido (Apto),PODE
Claudio Miyake,Superior completo,45777,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Comandante Lourdes,Superior completo,55153,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Conte Lopes,Superior completo,11138,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Marback,Ensino Médio completo,70369,Deferido (Apto),AVANTE
Paulo Massarelli,Ensino Médio completo,33056,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Coronel Camilo,Superior completo,55190,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Medeiros,Superior incompleto,44111,Deferido (Apto),PRP
Coronel Telhada,Superior completo,11190,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Miranda,Ensino Fundamental incompleto,51234,Deferido (Apto),PATRI
Daniel Soares,Superior completo,25333,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Debora Marcondes,Superior completo,45500,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Delegada Rossana Camacho,Superior completo,55655,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Paulo Rocha,Ensino Médio completo,50088,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Delegado Damasceno,Superior completo,45789,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Delegado Eduardo Boigues,Superior completo,11011,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Delegado Olim,Superior completo,11777,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Diego Miranda,Superior completo,55100,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Dr Lindoso,Superior completo,45855,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Dr Marco Bicheiro,Superior completo,45900,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pedro Máximo,Superior incompleto,31021,Deferido (Apto),RENOVAÇÃO 
Dr Roque,Superior completo,25222,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Dr Saulo O Médico do Povo,Superior completo,10900,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pedro Tonetti,Superior incompleto,90018,Deferido (Apto),PROS
Dr Thomás (Advogado),Superior completo,45454,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Dr. Elias Ajub,Superior completo,10200,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pelé da Cândida,Ensino Médio completo,20610,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Dr. Gianelli,Superior completo,55755,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Piracicabano,Ensino Fundamental completo,31455,Deferido (Apto),RENOVAÇÃO 
Piu 2000,Ensino Médio completo,51610,Deferido (Apto),PATRI
Plinio Lima,Ensino Médio incompleto,70034,Deferido (Apto),AVANTE
Dr. Márcio Oliveira,Superior completo,10555,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Polyceno,Ensino Médio completo,55110,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Edmir Chedid,Superior completo,25118,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pr. André,Ensino Médio completo,70200,Deferido (Apto),AVANTE
Fábio Manfrinato,Superior completo,11222,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Fabio Sato,Superior completo,55023,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Pr. Otoniel Ferreira,Ensino Fundamental completo,70255,Deferido (Apto),AVANTE
Pr. Paulo Batista,Ensino Médio completo,70970,Deferido (Apto),AVANTE
Pr. Salles,Ensino Médio completo,20270,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Presbitero Gilberto,Ensino Médio completo,90015,Deferido (Apto),PROS
Gilmar Gimenes,Superior completo,45455,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Preta da Rádio Capital,Ensino Médio completo,20629,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Gilson Barreto Jr.,Superior completo,45678,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Priscila França,Superior incompleto,43013,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Giovanna Tripoli,Superior completo,45145,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Gustavo Martinelli,Superior completo,45045,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Gustavo Perissinotto,Superior completo,55000,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Helio Godoy,Superior completo,10101,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Helio Nishimoto,Superior completo,45610,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Ivone Fernandes,Superior completo,45002,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Jorge Wilson Xerife Consumidor,Superior completo,10000,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
José Mario Brasiliense,Superior completo,45745,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Jose_Bittencourt,Superior completo,10133,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Juliana Válio,Superior completo,55133,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Julio Pires,Superior completo,45115,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Junior Schreiner,Superior completo,55200,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Karina Carla,Superior completo,55900,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
