Nome,Escolaridade,Número,Aptidão,Coligação
Elza Ciccarelli,Superior completo,12791,Indeferido (Inapto),PDT
Helio Brassaroto,Ensino Fundamental incompleto,44077,Deferido (Apto),PRP
Helio Corretor,Ensino Fundamental completo,35111,Deferido (Apto),RENOVAÇÃO 
Marilena Monteiro,Superior completo,12678,Indeferido (Inapto),PDT
Rick Santos Rebu,Superior completo,12015,Indeferido (Inapto),PDT
Ana Cristina,Superior completo,12446,Indeferido com recurso (Apto),PDT
Hélio Santiago,Ensino Fundamental incompleto,28038,Deferido (Apto),PRTB
Miguel de Lima,Superior completo,12800,Indeferido com recurso (Apto),PDT
Adriana Pierin,Superior completo,19269,Deferido (Apto),PODE
Americo Neto,Superior completo,19027,Deferido (Apto),PODE
Anibal,Superior completo,19333,Deferido (Apto),PODE
Ataide Teruel,Superior completo,19001,Deferido (Apto),PODE
Bruno Ganem,Superior completo,19100,Deferido (Apto),PODE
Henrique do Colegio,Ensino Médio completo,51003,Deferido (Apto),PATRI
Bruno Omori,Superior completo,19133,Deferido (Apto),PODE
Henrique Jambo,Ensino Médio incompleto,70060,Deferido (Apto),AVANTE
Capitão Alexandre Bombeiro,Superior completo,19193,Deferido (Apto),PODE
Carlão do Social,Superior completo,19030,Deferido (Apto),PODE
Chuvisco,Superior completo,19633,Deferido (Apto),PODE
Claudia Abreu,Superior completo,19026,Deferido (Apto),PODE
Creuza Vieira,Superior completo,19610,Deferido (Apto),PODE
Ideval Alba,Ensino Fundamental completo,70648,Deferido (Apto),AVANTE
Custódio Junior,Superior completo,19099,Deferido (Apto),PODE
Ildete,Ensino Fundamental completo,28246,Deferido (Apto),PRTB
Ilma Rosa,Superior incompleto,44351,Deferido (Apto),PRP
Inácio,Superior incompleto,70300,Deferido (Apto),AVANTE
Cybele Silva,Superior completo,19007,Deferido (Apto),PODE
Daniel Machado,Superior completo,19919,Deferido (Apto),PODE
Délbio Teruel,Superior completo,19555,Deferido (Apto),PODE
Ingrid Relvão,Superior incompleto,18321,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Domingos Sanches,Superior completo,19002,Deferido (Apto),PODE
Dora Lickunas,Superior completo,19230,Deferido (Apto),PODE
Iran da Autoescola,Superior incompleto,33033,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Iranildo Dantas,Ensino Médio completo,90922,Deferido (Apto),PROS
Dorinha Machado,Superior completo,19851,Deferido (Apto),PODE
Doutor Walmir Rigueira,Superior completo,19011,Deferido (Apto),PODE
Dr Joaquim,Superior completo,19337,Deferido (Apto),PODE
Irmã Girlene,Ensino Fundamental completo,70543,Deferido (Apto),AVANTE
Irmã Ieda,Ensino Fundamental incompleto,19233,Deferido (Apto),PODE
Irmã Lena Trajano,Superior incompleto,27133,Deferido (Apto),DC
Irmao Ximenes - O Popular,Ensino Fundamental incompleto,90620,Deferido (Apto),PROS
Dr Marcos Mendes,Superior completo,19911,Deferido (Apto),PODE
Dr Paulo Santana,Superior completo,19014,Deferido (Apto),PODE
Dr. Assad,Superior completo,19722,Deferido (Apto),PODE
Dr. Evanir,Superior completo,19201,Deferido (Apto),PODE
Isabel Calderone,Ensino Médio completo,90996,Deferido (Apto),PROS
Isabel da Arquitetura,Superior incompleto,19720,Deferido (Apto),PODE
Isabel Enfermeira,Ensino Médio completo,77407,Deferido (Apto),SOLIDARIEDADE
Dr. Filipe Fornari,Superior completo,19977,Deferido (Apto),PODE
Isabel Kausz,Ensino Médio completo,15600,Deferido (Apto),MDB
Isabella Trevisani,Ensino Médio completo,28028,Deferido (Apto),PRTB
Isaías do Belém,Ensino Médio completo,51032,Deferido (Apto),PATRI
Dr. Nunes Peixeiro,Superior completo,19400,Deferido (Apto),PODE
Ismael Pintor,Ensino Médio completo,27317,Deferido (Apto),DC
Ítalo Molon,Ensino Médio completo,28718,Deferido (Apto),PRTB
Dr. Raul,Superior completo,19888,Deferido (Apto),PODE
Dr.joel de Parelheiros,Superior completo,19112,Deferido (Apto),PODE
Itamar Sena,Ensino Médio incompleto,44700,Deferido (Apto),PRP
Dra.maria de Jesus,Superior completo,19900,Deferido (Apto),PODE
Ivan Alves,Ensino Médio completo,70667,Deferido (Apto),AVANTE
Edinho do Kemel,Superior completo,19630,Deferido (Apto),PODE
Ednéia Teles,Superior completo,19321,Deferido (Apto),PODE
Emmerson Camargo,Superior completo,19975,Deferido (Apto),PODE
Iya Wanda,Ensino Fundamental completo,13090,Deferido (Apto),PT
Izabel,Ensino Médio completo,28901,Deferido (Apto),PRTB
Jacaré,Ensino Fundamental incompleto,54501,Deferido (Apto),PPL
Jackson Gomes,Ensino Médio completo,31016,Deferido (Apto),RENOVAÇÃO 
Jackson Sacramento,Ensino Médio completo,44055,Deferido (Apto),PRP
Jaiminho Kixodó,Ensino Médio incompleto,35888,Deferido (Apto),RENOVAÇÃO 
Jair Marmelo,Ensino Médio completo,65600,Deferido (Apto),PC do B
Ernesto Teixeira,Superior completo,19910,Deferido (Apto),PODE
Jair Rodrigues,Ensino Médio incompleto,50567,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Jairinho,Ensino Médio incompleto,31117,Deferido (Apto),RENOVAÇÃO 
Gelso Lima,Superior completo,19119,Deferido (Apto),PODE
Gerson Vencedor,Superior completo,19036,Deferido (Apto),PODE
Jajá Torres,Ensino Médio completo,77771,Deferido (Apto),SOLIDARIEDADE
Jalmira do Carmo,Lê e escreve,54290,Deferido (Apto),PPL
Glaucia Cília,Superior completo,19399,Deferido (Apto),PODE
Helio Firmo,Superior completo,19125,Deferido (Apto),PODE
Jamile Rangel,Ensino Médio completo,65040,Deferido (Apto),PC do B
Jassa,Superior completo,19433,Deferido (Apto),PODE
João Dárcio,Superior completo,19700,Deferido (Apto),PODE
João Fadel,Superior completo,19111,Deferido (Apto),PODE
Jazze do Café,Ensino Médio incompleto,12181,Deferido (Apto),PDT
Jean Brito,Ensino Médio completo,70778,Deferido (Apto),AVANTE
Jean Pierre,Ensino Médio completo,44190,Deferido (Apto),PRP
Juliana Bussab,Superior completo,19008,Deferido (Apto),PODE
Junior Vaz,Superior completo,19899,Deferido (Apto),PODE
Kayque Verginio,Superior completo,19634,Deferido (Apto),PODE
Leandro Nava,Superior completo,19998,Deferido (Apto),PODE
Jeremias do Povo,Ensino Médio incompleto,70022,Deferido (Apto),AVANTE
Luis Henrique Moreira,Superior completo,19619,Deferido (Apto),PODE
Major Mohamad,Superior completo,19010,Deferido (Apto),PODE
Jhol Jhol Jonathan Rago,Superior incompleto,55321,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Jo Araújo,Ensino Médio completo,13888,Deferido (Apto),PT
Malu Silva,Superior completo,19039,Deferido (Apto),PODE
